
WPDBusEnum                               Portable Device Enumerator Service                                                 Stopped    Manual
WdNisSvc                                 Microsoft Defender Antivirus Network Inspection Service                            Running    Manual
VirtioFsSvc                              VirtIO-FS Service                                                                  Stopped    Manual
vds                                      Virtual Disk                                                                       Stopped    Manual
UsoSvc                                   Update Orchestrator Service                                                        Stopped    Manual
vmickvpexchange                          Hyper-V Data Exchange Service                                                      Stopped    Manual
vmicheartbeat                            Hyper-V Heartbeat Service                                                          Stopped    Manual
vmicguestinterface                       Hyper-V Guest Service Interface                                                    Stopped    Manual
UserDataSvc_42d01                        User Data Access_42d01                                                             Stopped    Manual
UdkUserSvc_42d01                         Udk User Service_42d01                                                             Running    Manual
TrustedInstaller                         Windows Modules Installer                                                          Stopped    Manual
TroubleshootingSvc                       Recommended Troubleshooting Service                                                Stopped    Manual
upnphost                                 UPnP Device Host                                                                   Stopped    Manual
UnistoreSvc_42d01                        User Data Storage_42d01                                                            Stopped    Manual
UmRdpService                             Remote Desktop Services UserMode Port Redirector                                   Stopped    Manual
vmicrdv                                  Hyper-V Remote Desktop Virtualization Service                                      Stopped    Manual
WbioSrvc                                 Windows Biometric Service                                                          Stopped    Manual
wbengine                                 Block Level Backup Engine Service                                                  Stopped    Manual
WarpJITSvc                               Warp JIT Service                                                                   Stopped    Manual
WdiSystemHost                            Diagnostic System Host                                                             Running    Manual
WdiServiceHost                           Diagnostic Service Host                                                            Stopped    Manual
wcncsvc                                  Windows Connect Now - Config Registrar                                             Stopped    Manual
WalletService                            WalletService                                                                      Stopped    Manual
vmicvmsession                            Hyper-V PowerShell Direct Service                                                  Stopped    Manual
vmictimesync                             Hyper-V Time Synchronization Service                                               Stopped    Manual
vmicshutdown                             Hyper-V Guest Shutdown Service                                                     Stopped    Manual
WaaSMedicSvc                             WaaSMedicSvc                                                                       Stopped    Manual
VSS                                      Volume Shadow Copy                                                                 Stopped    Manual
vmicvss                                  Hyper-V Volume Shadow Copy Requestor                                               Stopped    Manual
DoSvc                                    Delivery Optimization                                                              Stopped    Manual
dmwappushservice                         Device Management Wireless Application Protocol (WAP) Push message Routing Service Stopped    Manual
DmEnrollmentSvc                          Device Management Enrollment Service                                               Stopped    Manual
dot3svc                                  Wired AutoConfig                                                                   Stopped    Manual
EapHost                                  Extensible Authentication Protocol                                                 Stopped    Manual
DsSvc                                    Data Sharing Service                                                               Stopped    Manual
DsmSvc                                   Device Setup Manager                                                               Stopped    Manual
DevicePickerUserSvc_42d01                DevicePicker_42d01                                                                 Stopped    Manual
DeviceInstall                            Device Install Service                                                             Stopped    Manual
DeviceAssociationService                 Device Association Service                                                         Stopped    Manual
DevicesFlowUserSvc_42d01                 DevicesFlow_42d01                                                                  Stopped    Manual
DisplayEnhancementService                Display Enhancement Service                                                        Stopped    Manual
diagsvc                                  Diagnostic Execution Service                                                       Stopped    Manual
DevQueryBroker                           DevQuery Background Discovery Broker                                               Stopped    Manual
edgeupdate                               Microsoft Edge Update Service (edgeupdate)                                         Stopped    Manual
GameInputSvc                             GameInput Service                                                                  Stopped    Manual
FrameServerMonitor                       Windows Camera Frame Server Monitor                                                Stopped    Manual
FrameServer                              Windows Camera Frame Server                                                        Stopped    Manual
GraphicsPerfSvc                          GraphicsPerfSvc                                                                    Stopped    Manual
HvHost                                   HV Host Service                                                                    Stopped    Manual
hpatchmon                                Hotpatch Monitoring Service                                                        Stopped    Manual
hidserv                                  Human Interface Device Service                                                     Stopped    Manual
embeddedmode                             Embedded Mode                                                                      Stopped    Manual
EFS                                      Encrypting File System (EFS)                                                       Stopped    Manual
edgeupdatem                              Microsoft Edge Update Service (edgeupdatem)                                        Stopped    Manual
EntAppSvc                                Enterprise App Management Service                                                  Stopped    Manual
fhsvc                                    File History Service                                                               Stopped    Manual
FDResPub                                 Function Discovery Resource Publication                                            Stopped    Manual
fdPHost                                  Function Discovery Provider Host                                                   Stopped    Manual
AxInstSV                                 ActiveX Installer (AxInstSV)                                                       Stopped    Manual
autotimesvc                              Cellular Time                                                                      Stopped    Manual
ApxSvc                                   Windows Virtual Audio Device Proxy Service                                         Stopped    Manual
BcastDVRUserService_42d01                GameDVR and Broadcast User Service_42d01                                           Stopped    Manual
BTAGService                              Bluetooth Audio Gateway Service                                                    Stopped    Manual
BluetoothUserService_42d01               Bluetooth User Support Service_42d01                                               Stopped    Manual
BDESVC                                   BitLocker Drive Encryption Service                                                 Stopped    Manual
ALG                                      Application Layer Gateway Service                                                  Stopped    Manual
ADPSvc                                   Aggregated Data Platform Service                                                   Stopped    Manual
AarSvc_42d01                             Agent Activation Runtime_42d01                                                     Stopped    Manual
AppIDSvc                                 Application Identity                                                               Running    Manual
AppReadiness                             App Readiness                                                                      Stopped    Manual
AppMgmt                                  Application Management                                                             Stopped    Manual
Appinfo                                  Application Information                                                            Running    Manual
bthserv                                  Bluetooth Support Service                                                          Stopped    Manual
CredentialEnrollmentManagerUserSvc_42d01 CredentialEnrollmentManagerUserSvc_42d01                                           Stopped    Manual
ConsentUxUserSvc_42d01                   ConsentUX User Service_42d01                                                       Stopped    Manual
COMSysApp                                COM+ System Application                                                            Stopped    Manual
CscService                               Offline Files                                                                      Stopped    Manual
DeviceAssociationBrokerSvc_42d01         DeviceAssociationBroker_42d01                                                      Stopped    Manual
defragsvc                                Optimize drives                                                                    Stopped    Manual
dcsvc                                    Declared Configuration(DC) service                                                 Stopped    Manual
CDPSvc                                   Connected Devices Platform Service                                                 Running    Manual
CaptureService_42d01                     CaptureService_42d01                                                               Stopped    Manual
camsvc                                   Capability Access Manager Service                                                  Running    Manual
CertPropSvc                              Certificate Propagation                                                            Stopped    Manual
cloudidsvc                               Microsoft Cloud Identity Service                                                   Stopped    Manual
CloudBackupRestoreSvc_42d01              Cloud Backup and Restore Service_42d01                                             Stopped    Manual
ClipSVC                                  Client License Service (ClipSVC)                                                   Running    Manual
P9RdrService_42d01                       P9RdrService_42d01                                                                 Stopped    Manual
NPSMSvc_42d01                            Now Playing Session Manager Service_42d01                                          Stopped    Manual
NlaSvc                                   Network Location Awareness                                                         Stopped    Manual
PcaSvc                                   Program Compatibility Assistant Service                                            Running    Manual
perceptionsimulation                     Windows Perception Simulation Service                                              Stopped    Manual
PenService_42d01                         PenService_42d01                                                                   Stopped    Manual
PeerDistSvc                              BranchCache                                                                        Stopped    Manual
Netman                                   Network Connections                                                                Stopped    Manual
Netlogon                                 Netlogon                                                                           Stopped    Manual
NcdAutoSetup                             Network Connected Devices Auto-Setup                                               Stopped    Manual
netprofm                                 Network List Service                                                               Running    Manual
NgcSvc                                   Microsoft Passport                                                                 Stopped    Manual
NgcCtnrSvc                               Microsoft Passport Container                                                       Stopped    Manual
NetSetupSvc                              Network Setup Service                                                              Stopped    Manual
PrintWorkflowUserSvc_42d01               PrintWorkflow_42d01                                                                Stopped    Manual
PrintScanBrokerService                   PrintScanBrokerService                                                             Stopped    Manual
PrintNotify                              Printer Extensions and Notifications                                               Stopped    Manual
PushToInstall                            Windows PushToInstall Service                                                      Stopped    Manual
RasAuto                                  Remote Access Auto Connection Manager                                              Stopped    Manual
QWAVE                                    Quality Windows Audio Video Experience                                             Stopped    Manual
QEMU Guest Agent VSS Provider            QEMU Guest Agent VSS Provider                                                      Stopped    Manual
PimIndexMaintenanceSvc_42d01             Contact Data_42d01                                                                 Stopped    Manual
PhoneSvc                                 Phone Service                                                                      Stopped    Manual
PerfHost                                 Performance Counter DLL Host                                                       Stopped    Manual
pla                                      Performance Logs & Alerts                                                          Stopped    Manual
PrintDeviceConfigurationService          Print Device Configuration Service                                                 Stopped    Manual
PolicyAgent                              IPsec Policy Agent                                                                 Stopped    Manual
PlugPlay                                 Plug and Play                                                                      Running    Manual
NcbService                               Network Connection Broker                                                          Running    Manual
lmhosts                                  TCP/IP NetBIOS Helper                                                              Running    Manual
lltdsvc                                  Link-Layer Topology Discovery Mapper                                               Stopped    Manual
LicenseManager                           Windows License Manager Service                                                    Running    Manual
McmSvc                                   Mobile Connectivity Management Service                                             Stopped    Manual
LxpSvc                                   Language Experience Service                                                        Stopped    Manual
LocalKdc                                 Kerberos Local Key Distribution Center                                             Stopped    Manual
lfsvc                                    Geolocation Service                                                                Stopped    Manual
InstallService                           Microsoft Store Install Service                                                    Stopped    Manual
IKEEXT                                   IKE and AuthIP IPsec Keying Modules                                                Stopped    Manual
icssvc                                   Windows Mobile Hotspot Service                                                     Stopped    Manual
KtmRm                                    KtmRm for Distributed Transaction Coordinator                                      Stopped    Manual
IpxlatCfgSvc                             IP Translation Configuration Service                                               Stopped    Manual
InventorySvc                             Inventory and Compatibility Appraisal service                                      Stopped    Manual
McpManagementService                     McpManagementService                                                               Stopped    Manual
MsKeyboardFilter                         Microsoft Keyboard Filter                                                          Stopped    Manual
msiserver                                Windows Installer                                                                  Stopped    Manual
NaturalAuthentication                    Natural Authentication                                                             Stopped    Manual
NcaSvc                                   Network Connectivity Assistant                                                     Stopped    Manual
MSiSCSI                                  Microsoft iSCSI Initiator Service                                                  Stopped    Manual
MessagingService_42d01                   MessagingService_42d01                                                             Stopped    Manual
MicrosoftEdgeElevationService            Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)                   Stopped    Manual
midisrv                                  Windows MIDI Service                                                               Stopped    Manual
MSDTC                                    Distributed Transaction Coordinator                                                Stopped    Manual
RemoteRegistry                           Remote Registry                                                                    Stopped  Disabled
UevAgentService                          User Experience Virtualization Service                                             Stopped  Disabled
AssignedAccessManagerSvc                 AssignedAccessManager Service                                                      Stopped  Disabled
RemoteAccess                             Routing and Remote Access                                                          Stopped  Disabled
ssh-agent                                OpenSSH Authentication Agent                                                       Stopped  Disabled
shpamsvc                                 Shared PC Account Manager                                                          Stopped  Disabled
DialogBlockingService                    DialogBlockingService                                                              Stopped  Disabled
DiagTrack                                Connected User Experiences and Telemetry                                           Stopped  Disabled
tzautoupdate                             Auto Time Zone Updater                                                             Stopped  Disabled
AppVClient                               Microsoft App-V Client                                                             Stopped  Disabled



